epoch,train_error,train_accuracy,average_weight_update,valid_error,valid_accuracy,test_accuracy
1,-1.0,-1.0,-35.626783313558306,-1.0,22.70769230769231,
2,-1.0,-1.0,-24.119373491452738,-1.0,38.6,
3,-1.0,-1.0,-16.33207629016151,-1.0,55.44615384615385,
4,-1.0,-1.0,-11.059943495846554,-1.0,58.784615384615385,
5,-1.0,-1.0,-7.490065563282726,-1.0,63.0,
6,-1.0,-1.0,-5.074638624623015,-1.0,65.16923076923077,
7,-1.0,-1.0,-3.438188638262078,-1.0,65.58461538461539,
8,-1.0,-1.0,-2.330380924065911,-1.0,66.03076923076924,
9,-1.0,-1.0,-1.579625624018615,-1.0,66.86153846153846,
10,-1.0,-1.0,-1.0703155242266191,-1.0,67.13846153846154,
11,-1.0,-1.0,-0.7263367791843279,-1.0,67.24615384615385,
12,-1.0,-1.0,-0.4940972369216146,-1.0,68.03076923076924,
13,-1.0,-1.0,-0.33528255117420486,-1.0,67.53846153846153,
14,-1.0,-1.0,-0.22823705970307384,-1.0,68.18461538461538,
15,-1.0,-1.0,-0.1550516579087674,-1.0,68.3076923076923,
16,-1.0,-1.0,-0.10611581010406189,-1.0,68.06153846153846,
17,-1.0,-1.0,-0.07284248447302943,-1.0,68.3076923076923,
18,-1.0,-1.0,-0.05047696095288439,-1.0,68.58461538461539,
19,-1.0,-1.0,-0.03433807206940373,-1.0,68.52307692307693,
20,-1.0,-1.0,-0.024779088509089463,-1.0,68.4,
,,,,,,67.46153846153847
